time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes
1440,0.5,334,0.0001,0.0035231171641498804,4,11.536750999999999,304,360.0,4
2880,0.5,694,0.0001,0.0010798134608194232,10,-1.9298093750000005,280,360.0,8
4320,0.5,1054,0.0001,0.0010394133860245347,15,-8.2260015,272,360.0,12
5760,0.5,1414,0.0001,0.000491708517074585,21,-11.4599354375,268,360.0,16
7200,0.5,1774,0.0001,0.0005393507890403271,27,-12.23562245,265,360.0,20
8640,0.5,2134,0.0001,0.0018780338577926159,32,-14.343456708333335,264,360.0,24
10080,0.5,2494,0.0001,0.0035508638247847557,38,-15.901400392857145,263,360.0,28
11520,0.5,2854,0.0001,0.004136717412620783,43,-17.09176915625,262,360.0,32
12960,0.5,3214,0.0001,0.001384098781272769,49,-18.19735013888889,261,360.0,36
14400,0.5,3574,0.0001,0.00024814141215756536,55,-19.087972174999997,260,360.0,40
15840,0.5,3934,0.0001,0.0014558144612237811,60,-19.852899363636364,260,360.0,44
17280,0.5,4294,0.0001,0.00015163945499807596,67,-20.579251208333336,257,360.0,48
18720,0.5,4654,0.0001,0.000491265906020999,72,-21.24089884615385,257,360.0,52
20160,0.5,5014,0.0001,0.0003706206916831434,78,-21.77388205357143,256,360.0,56
21600,0.5,5374,0.0001,0.0010102067608386278,84,-22.240902933333334,256,360.0,60
23040,0.5,5734,0.0001,0.00022701815760228783,89,-22.687970015624998,256,360.0,64
24480,0.5,6094,0.0001,0.00036238934262655675,95,-23.100928529411764,256,360.0,68
25756,0.5,6413,0.0001,0.0003706050629261881,100,-23.19290536111111,256,357.72222222222223,72
27196,0.5,6773,0.0001,0.00017687147192191333,106,-23.55014536842105,256,357.8421052631579,76
28636,0.5,7133,0.0001,0.003599919145926833,111,-23.8617036875,256,357.95,80
30076,0.5,7493,0.0001,0.0006106490618549287,117,-24.130665547619046,255,358.04761904761904,84
31516,0.5,7853,0.0001,0.0003021176380570978,123,-24.418625420454546,255,358.1363636363636,88
32956,0.5,8213,0.0001,0.00034395186230540276,129,-24.585791978260872,253,358.2173913043478,92
34396,0.5,8573,0.0001,0.00014417221245821565,135,-24.797375947916667,253,358.2916666666667,96
35643,0.5,8885,0.0001,0.00012716080527752638,140,-24.81918211,253,356.43,100
36809,0.5,9177,0.0001,0.0013153989566490054,145,-26.20091707,252,353.69,104
38249,0.5,9537,0.0001,0.0029111888725310564,151,-26.831346390000004,252,353.69,108
39689,0.5,9897,0.0001,0.0003909743682015687,157,-27.202097390000002,252,353.69,112
41129,0.5,10257,0.0001,0.00019076958415098488,163,-27.624009829999995,252,353.69,116
42569,0.5,10617,0.0001,5.380352740758099e-05,169,-28.274736509999997,251,353.69,120
44009,0.5,10977,0.0001,0.00026675689150579274,175,-28.497459440000004,250,353.69,124
45449,0.5,11337,0.0001,0.00011790839198511094,185,-28.67086066,245,353.69,128
46889,0.5,11697,0.0001,0.00014344359806273133,191,-28.901904890000004,244,353.69,132
48329,0.5,12057,0.0001,0.0015324722044169903,197,-29.062605280000003,244,353.69,136
49769,0.5,12417,0.0001,8.999380224850029e-05,203,-29.23282328,244,353.69,140
51162,0.5,12765,0.0001,0.0004366728535387665,210,-29.32981707,243,353.22,144
52602,0.5,13125,0.0001,3.5841156204696745e-05,216,-29.432018299999996,243,353.22,148
54042,0.5,13485,0.0001,8.60145446495153e-05,221,-29.56050867,243,353.22,152
55383,0.5,13820,0.0001,0.00020902612595818937,226,-29.557803649999997,244,352.23,156
56823,0.5,14180,0.0001,0.00022569317661691457,231,-29.684255900000004,245,352.23,160
58263,0.5,14540,0.0001,0.00046308120363391936,236,-29.79628178,246,352.23,164
59703,0.5,14900,0.0001,0.00011360170901753008,241,-29.887818230000004,247,352.23,168
61143,0.5,15260,0.0001,9.816541569307446e-05,246,-30.181661490000007,247,353.87,172
62366,0.5,15566,0.0001,0.00010730107896961272,250,-30.046361259999998,248,351.7,176
63806,0.5,15926,0.0001,0.0009868390625342727,255,-30.133657430000003,249,351.7,180
65246,0.5,16286,0.0001,0.00012968620285391808,260,-30.255489640000004,250,351.7,184
66686,0.5,16646,0.0001,7.64506112318486e-05,266,-30.316342990000006,250,351.7,188
68126,0.5,17006,0.0001,0.00017494602070655674,271,-30.48253508,251,351.7,192
69566,0.5,17366,0.0001,0.0004936808836646378,276,-30.57717155,251,351.7,196
71006,0.5,17726,0.0001,8.656071440782398e-05,281,-30.834340599999997,252,353.63,200
72446,0.5,18086,0.0001,0.00042575091356411576,286,-31.22325404,252,356.37,204
73886,0.5,18446,0.0001,0.0002565274480730295,291,-31.27907329,253,356.37,208
75326,0.5,18806,0.0001,5.055991277913563e-05,296,-31.363016500000004,254,356.37,212
76766,0.5,19166,0.0001,9.510987001704052e-05,301,-31.389583719999997,254,356.37,216
78206,0.5,19526,0.0001,0.0002102633152389899,306,-31.41067495,255,356.37,220
79646,0.5,19886,0.0001,0.00027205614605918527,311,-31.487054750000002,255,356.37,224
81086,0.5,20246,0.0001,0.000795048545114696,316,-31.61295001,255,356.37,228
82526,0.5,20606,0.0001,5.5494736443506554e-05,321,-31.624987810000004,256,356.37,232
83966,0.5,20966,0.0001,0.00011299658217467368,326,-31.67777156,256,356.37,236
85406,0.5,21326,0.0001,8.341188367921859e-05,332,-31.739891619999998,257,356.37,240
86846,0.5,21686,0.0001,0.00016044187941588461,336,-31.849916860000004,257,356.84,244
88286,0.5,22046,0.0001,0.00027316008345223963,341,-31.85983404,258,356.84,248
89726,0.5,22406,0.0001,0.00014441991515923291,346,-31.88200226,258,356.84,252
91038,0.5,22734,0.0001,0.0001519897923571989,351,-31.59230235,258,356.55,256
92478,0.5,23094,0.0001,8.865619747666642e-05,357,-31.573982549999997,259,356.55,260
93918,0.5,23454,0.0001,9.83721693046391e-05,361,-31.588597960000005,259,356.55,264
95358,0.5,23814,0.0001,0.0007910584681667387,366,-31.62923794,259,356.55,268
96798,0.5,24174,0.0001,0.00039476100937463343,372,-31.670323070000006,259,356.55,272
98238,0.5,24534,0.0001,5.5779990361770615e-05,377,-31.92528417,260,358.72,276
99678,0.5,24894,0.0001,0.0010028121760115027,382,-31.956208120000007,260,358.72,280
101118,0.5,25254,0.0001,4.6622681111330166e-05,387,-31.966644790000004,260,358.72,284
102459,0.5,25589,0.0001,0.00016441645857412368,392,-31.773411619999997,261,357.73,288
103883,0.5,25945,0.0001,0.00021043885499238968,397,-31.755659800000004,261,357.57,292
105323,0.5,26305,0.0001,0.0001585906429681927,402,-31.77257613,261,357.57,296
106763,0.5,26665,0.0001,0.00022687915770802647,407,-31.831468289999997,261,357.57,300
108203,0.5,27025,0.0001,0.0002561702858656645,412,-31.83793811,262,357.57,304
109643,0.5,27385,0.0001,0.00014686360373161733,420,-31.868328860000002,260,357.57,308
111083,0.5,27745,0.0001,8.969448390416801e-05,426,-31.885276939999994,260,357.57,312
112480,0.5,28094,0.0001,0.0002736666065175086,433,-31.774640169999998,259,357.14,316
113920,0.5,28454,0.0001,0.00025789602659642696,439,-31.765213469999996,259,357.14,320
115360,0.5,28814,0.0001,8.055733633227646e-05,444,-31.75721508,259,357.14,324
116800,0.5,29174,0.0001,5.2934567065676674e-05,449,-31.748425690000005,259,357.14,328
118240,0.5,29534,0.0001,0.0002925950975622982,455,-31.823095400000003,259,357.14,332
119680,0.5,29894,0.0001,0.00022719084518030286,461,-31.838000839999996,259,357.14,336
121082,0.5,30245,0.0001,0.00039784747059457004,467,-31.79472583,259,356.76,340
122522,0.5,30605,0.0001,0.000413032277720049,472,-31.796492949999998,259,356.76,344
