time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
1,2048,2,360.0,8.663988,826,,,,,,,,,,
2,4096,7,360.0,-5.6780397272727265,573,0.0003,0.4693041443824768,-0.004604057196411304,0.0102790855,0.054931640625,1.2171566683799029,-0.00024509429931640625,0.2,10,-1.9412277828902007
3,6144,11,360.0,-9.811078588235294,517,0.0003,0.16694366931915283,-0.0019201839444576763,0.005389815,0.0169921875,0.6869364380370826,-0.07323753833770752,0.2,20,-1.9297971788793802
4,8192,16,360.0,-12.8380755,485,0.0003,0.11236967891454697,-0.00139990265306551,0.006254075,0.008544921875,0.21158858318813145,0.022202670574188232,0.2,30,-1.9316332329064607
5,10240,22,360.0,-15.643386214285714,456,0.0003,0.0007711425423622131,-0.005612086702603847,0.008786001,0.05048828125,0.07787390070734546,0.17080223560333252,0.2,40,-1.9318050388246775
6,12288,27,360.0,-17.81385544117647,441,0.0003,0.03156031668186188,-0.0048656179627869275,0.009129798,0.068359375,0.05615271760325413,0.03997451066970825,0.2,50,-1.9170421816408634
7,14336,33,360.0,-19.127546897435902,430,0.0003,0.0062021613121032715,-0.004655396503221709,0.011400888,0.07080078125,0.03107951865385985,-0.027888059616088867,0.2,60,-1.8787825226783752
8,16384,38,354.9782608695652,-19.383888173913043,422,0.0003,0.013647619634866714,-0.0054957515480055005,0.008302536,0.083056640625,0.028469050662533846,-0.027939200401306152,0.2,70,-1.8396773431450129
9,18432,44,355.47058823529414,-20.104767352941177,416,0.0003,0.06748196482658386,-0.004689933695772197,0.009304345,0.051806640625,0.6157326250337064,0.0891607403755188,0.2,80,-1.815995977446437
10,20480,49,355.94736842105266,-20.757977298245613,412,0.0003,0.07956691831350327,-0.0021404367631475906,0.0067201713,0.02041015625,0.21854380258591846,-0.6799342632293701,0.2,90,-1.8170245110988616
11,22528,54,355.015873015873,-21.39080626984127,409,0.0003,0.016673579812049866,-0.006259933295950759,0.010197572,0.066015625,0.08806695410748944,0.30206912755966187,0.2,100,-1.8107152737677097
12,24576,60,355.4492753623188,-22.074847971014496,406,0.0003,0.05972816422581673,-0.004087181275826879,0.0060794293,0.024169921875,0.24332437489647418,0.09230756759643555,0.2,110,-1.8353812154382467
13,26624,65,353.68,-22.44651418666667,404,0.0003,-0.015230629593133926,-0.00802723608649103,0.011268899,0.096630859375,0.03346944249351509,-0.4446737766265869,0.2,120,-1.8096079718321563
14,28672,71,354.075,-22.81464165,402,0.0003,0.05337768793106079,-0.002560310119224596,0.0068723466,0.034326171875,0.31981762539362535,0.14949935674667358,0.2,130,-1.8181323971599341
15,30720,76,353.43023255813955,-22.939345999999997,400,0.0003,0.22651423513889313,-0.00785918661786127,0.0085510425,0.047314453125,0.16150868178228847,0.5400615334510803,0.2,140,-1.8606147307902574
16,32768,82,353.85869565217394,-23.405946826086957,399,0.0003,0.34916165471076965,-0.0009648503502830863,0.005123278,0.01904296875,0.719501785421744,0.32580745220184326,0.2,150,-1.8715187031775713
17,34816,87,354.234693877551,-23.753179520408157,397,0.0003,-0.016370363533496857,-0.007440920085355174,0.01372885,0.1224609375,0.04630420277244411,-0.7446211576461792,0.2,160,-1.8528192859143018
18,36864,93,353.14,-25.26539271,396,0.0003,0.11247634887695312,-0.008610779401351465,0.010231712,0.048779296875,0.18132434266153724,0.4179220199584961,0.2,170,-1.863140793889761
19,38912,98,350.36,-25.916657100000002,395,0.0003,0.1740422397851944,-0.004561300492787268,0.0032179472,0.002880859375,0.47672803248278794,0.42989838123321533,0.2,180,-1.8339217334985733
20,40960,103,350.36,-26.749379110000003,394,0.0003,0.22846409678459167,-0.00728432507821708,0.0074671893,0.063720703125,0.3122040748712607,0.08880561590194702,0.2,190,-1.8117186944931745
21,43008,109,350.36,-27.098471599999996,393,0.0003,-0.029312850907444954,-0.008962258453902906,0.011933393,0.099072265625,0.01922191015619319,-0.8608207702636719,0.2,200,-1.78702899441123
22,45056,114,349.46,-27.195363869999998,392,0.0003,0.06909449398517609,-0.008251093431317713,0.011029555,0.131396484375,0.1029405434266664,0.5923808515071869,0.2,210,-1.787905241549015
23,47104,120,345.67,-26.954807189999997,392,0.0003,0.06084660440683365,-0.004189505592512433,0.007719078,0.041650390625,0.3265069285640493,0.39551931619644165,0.2,220,-1.7843682251870632
24,49152,125,345.66,-27.082255830000005,391,0.0003,0.1696922779083252,-0.003321639928617515,0.0034469932,0.03759765625,0.5597769899526611,0.4800317883491516,0.2,230,-1.811998476460576
