rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/explained_variance,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss
360.0,1,8.968917600000001,2,2048,700,,,,,,,,,,
360.0,2,-5.444061545454545,8,4096,459,-1.3232231140136719e-05,0.0067069693,10,-0.002110424463171512,0.0003,0.2,-1.9441004060208797,0.00625,1.1912172028794885,0.49619510769844055
354.7647058823529,3,-8.126181705882354,14,6144,421,0.3089303970336914,0.012183314,20,-0.005554341527749784,0.0003,0.2,-1.930748238414526,0.05673828125,0.09244422052288429,0.07400768995285034
356.1304347826087,4,-12.05964952173913,20,8192,391,-0.10002362728118896,0.0017145621,30,-0.002162328675331082,0.0003,0.2,-1.9315632052719593,0.000244140625,0.9443930924404412,0.8583874702453613
356.82142857142856,5,-14.492175285714286,27,10240,365,-0.12402093410491943,0.008568596,40,-0.0022471114178188147,0.0003,0.2,-1.9317374918609858,0.0076171875,0.11876047143014148,0.052631258964538574
357.38235294117646,6,-16.494311735294115,33,12288,367,0.00012725591659545898,0.0085617835,50,-0.005662224953994155,0.0003,0.2,-1.9099849630147219,0.056103515625,0.04987337150960229,0.0008595772087574005
357.775,7,-18.107471925,38,14336,368,0.21711963415145874,0.009268606,60,-0.004927975128521211,0.0003,0.2,-1.871217144653201,0.08681640625,0.12051276484853587,0.055118754506111145
355.10869565217394,8,-18.705399326086958,44,16384,369,0.45576751232147217,0.0069432165,70,-0.006747822964098304,0.0003,0.2,-1.8492394991219043,0.050244140625,0.08475180549430661,0.021392544731497765
353.6923076923077,9,-19.308336653846148,49,18432,369,0.3474619388580322,0.004136746,80,-0.0012702250773145352,0.0003,0.2,-1.8165414407849312,0.02763671875,0.43286433252505957,0.2594181299209595
354.2456140350877,10,-20.145952912280702,55,20480,369,0.37207794189453125,0.0025583077,90,-0.0024340942312846892,0.0003,0.2,-1.7795213762670756,0.00078125,0.33891332397470253,0.2908305823802948
351.46875,11,-20.224826265624998,60,22528,370,0.04865831136703491,0.0053207865,100,-0.0037150262229260988,0.0003,0.2,-1.742453371733427,0.035546875,0.30831118474015967,0.061533279716968536
352.0869565217391,12,-20.842313942028987,66,24576,371,0.702467292547226,0.003291511,110,-0.002954000905810972,0.0003,0.2,-1.7758759304881095,0.005517578125,0.42950843181461096,0.1430472433567047
352.72,13,-21.457378053333336,71,26624,371,0.4255695939064026,0.009115759,120,-0.005906940150453011,0.0003,0.2,-1.7896410048007965,0.0328125,0.2668897233204916,0.20401154458522797
353.25925925925924,14,-22.07410098765432,77,28672,371,0.03651762008666992,0.008641772,130,-0.0062498858853359705,0.0003,0.2,-1.7381500590592622,0.080322265625,0.05239614476449787,-0.0018405020236968994
353.6511627906977,15,-22.450203965116277,83,30720,368,0.3769603967666626,0.010093428,140,-0.008360774963512086,0.0003,0.2,-1.739221129193902,0.082080078125,0.04368419563979842,-0.00046822521835565567
353.8369565217391,16,-22.861021423913044,88,32768,368,0.5404219031333923,0.007061099,150,-0.005754780895222212,0.0003,0.2,-1.69920353256166,0.0435546875,0.07751175242010504,0.030960790812969208
354.2142857142857,17,-23.265529489795917,94,34816,368,0.5034332573413849,0.007098833,160,-0.006178212039230857,0.0003,0.2,-1.6735078040510416,0.059423828125,0.21982814656221308,0.027034858241677284
350.53,18,-24.93936279,99,36864,369,0.14688950777053833,0.010398033,170,-0.008531225999468007,0.0003,0.2,-1.700886884331703,0.106640625,0.05430405371298548,0.01273934543132782
348.79,19,-25.51281028,105,38912,369,0.4470718502998352,0.0068767266,180,-0.004230934602674097,0.0003,0.2,-1.6948624283075333,0.031298828125,0.5985393008217216,0.5561559200286865
342.84,20,-25.849193259999996,110,40960,369,0.4884507656097412,0.0070641087,190,-0.006426398137409706,0.0003,0.2,-1.660220079496503,0.10283203125,0.36908083751332016,0.11178016662597656
338.45,21,-25.71438939,116,43008,370,0.6948529183864594,0.007875213,200,-0.004789829408400692,0.0003,0.2,-1.5964978754520416,0.048291015625,0.6105623448034748,0.15059271454811096
336.01,22,-25.765114900000004,121,45056,370,0.49422115087509155,0.008735675,210,-0.008684884654940106,0.0003,0.2,-1.533897176757455,0.07216796875,1.01706946589984,0.171764075756073
333.57,23,-25.729806149999998,127,47104,370,0.6602298319339752,0.007757872,220,-0.007131679209123831,0.0003,0.2,-1.538764661550522,0.04931640625,0.44520519780926404,0.20301461219787598
322.1,24,-25.052606459999996,132,49152,371,0.8200351148843765,0.007917231,230,-0.005871820658649085,0.0003,0.2,-1.49869201220572,0.07373046875,0.2785360037814826,0.06864086538553238
311.86,25,-24.386441449999996,138,51200,370,0.7783268690109253,0.008635312,240,-0.0063138214740320105,0.0003,0.2,-1.5260097473859786,0.066748046875,0.7534209253266454,0.4996285140514374
296.69,26,-23.48435672,144,53248,369,0.7366178035736084,0.006768819,250,-0.0041274141163739845,0.0003,0.2,-1.4872553832828999,0.05712890625,0.9418579224962741,0.19825893640518188
285.55,27,-22.629819959999995,149,55296,369,0.7064566910266876,0.004295597,260,-0.005539745922578732,0.0003,0.2,-1.5099857266992331,0.034033203125,1.562975007854402,1.035491704940796
278.72,28,-22.06920436,155,57344,369,0.7840395271778107,0.0069527277,270,-0.007805576055397978,0.0003,0.2,-1.4936521764844657,0.077734375,0.9683298575226218,0.24836836755275726
271.56,29,-21.521908000000003,160,59392,369,0.6831493675708771,0.007497241,280,-0.004232682638394181,0.0003,0.2,-1.5179251171648502,0.091845703125,0.983063961006701,0.5506648421287537
261.87,30,-20.796978820000003,166,61440,369,0.7303454577922821,0.01160705,290,-0.003384828948037466,0.0003,0.2,-1.4581972043961287,0.124365234375,0.5214701375225559,0.2124091535806656
255.37,31,-20.23727591,172,63488,367,0.6261860728263855,0.011088388,300,-0.006673420310835354,0.0003,0.2,-1.4909402821213007,0.135595703125,0.8838031344115734,0.1951877772808075
249.18,32,-19.87752638,178,65536,367,0.683987945318222,0.010070309,310,-0.003343629833398154,0.0003,0.2,-1.4117468360811471,0.101806640625,0.845946961035952,0.24369262158870697
235.58,33,-18.792714869999998,183,67584,367,0.7537976801395416,0.0094482675,320,-0.007951574120670556,0.0003,0.2,-1.4085567109286785,0.1177734375,0.8921455682255328,0.17895078659057617
223.03,34,-17.72113792,189,69632,367,0.7216849327087402,0.010275051,330,-0.00626532242167741,0.0003,0.2,-1.4687854811549186,0.106005859375,0.829547714535147,0.40320566296577454
220.64,35,-17.5769254,194,71680,368,0.7446651756763458,0.0095181465,340,-0.004326495541317854,0.0003,0.2,-1.4378148440271616,0.12822265625,0.9027176866307854,0.43730083107948303
214.59,36,-17.10066517,200,73728,368,0.7490236461162567,0.009123519,350,-0.004418404391617514,0.0003,0.2,-1.4044589035212993,0.1474609375,1.1298491171561182,0.44586771726608276
200.58,37,-15.881143840000002,205,75776,368,0.8114699125289917,0.012781673,360,-0.00431002020050073,0.0003,0.2,-1.3499506093561648,0.1400390625,1.144538516085595,0.35398125648498535
184.95,38,-14.49905753,211,77824,368,0.8023317903280258,0.009154771,370,-0.004620019732101355,0.0003,0.2,-1.4411648735404015,0.0994140625,1.1091352812945843,0.2368375062942505
163.32,39,-12.40912321,216,79872,368,0.73869389295578,0.011975416,380,-0.0069134136821958235,0.0003,0.2,-1.3678244337439538,0.141943359375,1.0769410847686232,0.18503203988075256
152.9,40,-11.38602244,222,81920,367,0.7905202060937881,0.0075398744,390,-0.006596050366351846,0.0003,0.2,-1.3833519268780947,0.089794921875,1.358606233727187,0.26744362711906433
149.43,41,-11.148728470000002,228,83968,367,0.7771802991628647,0.010219753,400,-0.006193629246263299,0.0003,0.2,-1.3881228130310774,0.096240234375,0.8242352626752109,0.3849969804286957
145.61,42,-10.810169830000001,234,86016,367,0.7838028520345688,0.010174939,410,-0.006850103636679705,0.0003,0.2,-1.3702693067491054,0.099072265625,0.7296799669973553,0.3786040246486664
128.57,43,-9.282846189999999,239,88064,367,0.7486650049686432,0.01458477,420,-0.004632800474064424,0.0003,0.2,-1.318181373551488,0.161669921875,0.8345357118640095,0.44577139616012573
